apelido,posicao,clube,jogos,status,preco,variacao_pr,pontos,media_pts,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
Dida,Goleiro,internacional,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Grolli,Zagueiro,cruzeiro,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Furlan,Atacante,joinville,0,Contundido,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edson Silva,Zagueiro,são paulo,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henrique ,Lateral,vasco,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus Bertotto,Meia,internacional,0,Contundido,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,Atacante,joinville,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus Biteco,Meia,grêmio,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinuccio,Atacante,fluminense,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Léo Pereira,Zagueiro,atlético-pr,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guilherme Santos,Lateral,avaí,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Biro,Lateral,ponte preta,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caíque,Atacante,atlético-pr,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Cardoso,Atacante,santos,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Zagueiro,palmeiras,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caju,Lateral,santos,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus Inácio,Goleiro,ponte preta,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claudinei,Meia,avaí,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Mota,Meia,atlético-pr,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro,Atacante,ponte preta,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Mendes,Atacante,avaí,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulinho,Meia,ponte preta,1,Nulo,4.98,0.00,0.00,3.30,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Robert ,Meia,fluminense,1,Contundido,4.98,0.00,0.00,1.30,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,Goleiro,internacional,5,Nulo,4.97,-1.88,-1.00,2.80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,6
Thiago Mendes,Meia,são paulo,6,Provável,4.96,-1.62,-5.60,2.22,12,13,2,0,2,1,0,2,0,5,10,0,2,0,0,0,0,0
Mazola,Atacante,figueirense,4,Nulo,4.96,0.00,0.00,0.58,1,5,0,0,0,1,0,0,0,3,5,0,0,0,0,0,0,0
Henrique,Zagueiro,fluminense,1,Provável,4.94,-1.06,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jael,Atacante,joinville,3,Nulo,4.94,-0.57,-0.50,0.07,0,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0
Rosinei,Meia,coritiba,3,Contundido,4.93,0.00,0.00,0.67,2,8,0,0,0,1,0,0,0,6,7,0,2,0,0,0,0,0
Ruy,Meia,coritiba,6,Provável,4.92,-0.04,0.80,1.32,14,28,1,0,5,2,0,0,0,2,3,0,2,0,0,0,0,0
Rafael Bastos,Meia,figueirense,1,Contundido,4.87,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Otávio ,Meia,santos,5,Provável,4.85,0.00,0.00,2.76,4,13,0,0,0,0,0,0,0,16,15,0,2,0,0,0,0,0
Everton,Atacante,grêmio,3,Nulo,4.83,0.00,0.00,1.37,1,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
Arthur Maia,Meia,flamengo,4,Nulo,4.82,-0.66,-0.70,0.30,4,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Jackson,Zagueiro,palmeiras,3,Contundido,4.79,0.00,0.00,3.40,2,10,0,0,0,1,0,0,0,5,4,0,0,0,1,0,0,0
Hernani,Meia,atlético-pr,7,Provável,4.78,1.43,6.60,1.67,6,19,0,0,0,5,1,1,0,7,13,0,1,0,0,0,0,0
Rafael Longuine,Meia,santos,3,Provável,4.78,0.00,0.00,0.53,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ayrton,Lateral,flamengo,3,Nulo,4.77,0.00,0.00,3.03,3,7,0,0,1,0,0,0,0,1,2,0,1,0,2,0,0,0
Felipe Azevedo,Atacante,ponte preta,7,Provável,4.76,-1.54,-0.60,0.71,11,21,0,0,0,1,1,0,0,3,8,0,2,0,0,0,0,0
Maylson,Meia,chapecoense,1,Contundido,4.75,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred,Zagueiro,goiás,3,Provável,4.75,1.38,6.20,3.63,0,1,0,0,2,1,0,1,0,0,2,0,0,0,2,0,0,0
Paulinho Dias,Meia,atlético-pr,1,Nulo,4.73,0.00,0.00,-0.30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augusto César,Meia,joinville,6,Provável,4.72,-0.10,-0.10,1.08,9,14,0,0,1,1,0,0,0,5,8,0,0,0,0,0,0,0
Arouca,Meia,palmeiras,4,Provável,4.72,0.47,2.90,1.30,3,5,0,0,0,1,0,0,0,5,4,0,1,0,0,0,0,0
Jackson Caucaia,Meia,vasco,3,Provável,4.70,-0.26,2.80,4.23,6,4,0,0,1,0,0,0,0,7,4,0,0,0,0,0,0,0
Lucas Coelho,Atacante,goiás,2,Nulo,4.68,0.00,0.00,-0.05,1,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Gilberto,Atacante,vasco,6,Provável,4.68,0.67,0.90,0.12,11,21,0,0,4,9,0,4,1,6,9,0,2,1,0,0,0,0
Eduardo,Meia,atlético-mg,1,Nulo,4.67,0.00,0.00,4.90,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Bernardo,Meia,vasco,3,Nulo,4.67,0.00,0.00,-0.20,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Wanderson,Meia,chapecoense,1,Nulo,4.66,0.00,0.00,-0.60,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulão,Zagueiro,internacional,5,Nulo,4.65,0.00,0.00,1.96,1,14,0,1,0,1,0,0,0,4,3,1,0,0,2,0,0,0
Wagner,Meia,chapecoense,5,Provável,4.64,1.28,5.30,3.16,11,8,0,0,1,2,0,0,0,9,6,0,1,0,0,0,0,0
Eduardo Neto,Meia,avaí,6,Provável,4.61,0.71,3.00,2.12,7,14,1,0,1,3,0,0,0,9,12,0,2,0,0,0,0,0
Rogério,Lateral,joinville,3,Contundido,4.60,0.00,0.00,0.87,2,12,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0
Magno Alves,Atacante,fluminense,5,Suspenso,4.59,0.25,1.60,0.46,1,6,1,0,1,1,0,0,0,2,3,0,0,1,0,0,0,0
William,Lateral,internacional,3,Nulo,4.59,-0.44,2.00,6.73,4,8,0,0,0,0,0,0,0,8,2,0,1,0,2,0,0,0
Bruno Rodrigo,Zagueiro,cruzeiro,6,Provável,4.57,0.20,1.10,0.10,2,10,0,0,0,1,0,0,0,2,5,0,2,0,1,0,0,0
Bady,Meia,atlético-pr,1,Nulo,4.56,0.00,0.00,-0.40,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Nicolás Freitas,Meia,internacional,5,Nulo,4.55,-1.03,-3.60,1.18,3,9,0,0,0,0,0,0,0,8,9,0,1,0,0,0,0,0
Carlos Cesar,Lateral,atlético-mg,1,Nulo,4.52,0.00,0.00,6.40,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
Elias,Atacante,figueirense,1,Nulo,4.52,0.00,0.00,1.70,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Damasceno ,Atacante,atlético-pr,1,Nulo,4.51,0.00,0.00,0.70,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negueba,Atacante,coritiba,6,Nulo,4.51,-0.20,1.40,0.75,1,14,0,0,4,4,0,0,0,2,4,0,0,0,0,0,0,0
Alan Ruschel,Lateral,internacional,4,Nulo,4.50,0.00,0.00,2.15,14,8,1,0,0,0,0,0,0,5,11,0,2,1,1,0,0,0
Hyoran,Meia,chapecoense,4,Nulo,4.46,0.00,0.00,0.77,4,12,0,0,1,2,0,0,0,4,5,0,1,0,0,0,0,0
Vagner,Goleiro,avaí,7,Provável,4.46,-1.71,-2.00,1.97,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,9
Yago,Atacante,vasco,5,Nulo,4.45,-0.56,-0.10,0.24,15,5,0,0,0,0,0,2,0,1,3,0,2,0,0,0,0,0
Gabriel Jesus,Atacante,palmeiras,1,Nulo,4.43,0.00,0.00,-0.40,1,2,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0
Auro,Lateral,são paulo,1,Dúvida,4.43,0.43,4.40,4.40,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Fabiano,Lateral,cruzeiro,2,Dúvida,4.41,-0.49,1.40,0.80,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bruno Henrique,Meia,corinthians,6,Contundido,4.40,0.00,0.00,1.57,6,18,0,1,3,3,0,2,0,6,8,0,1,0,0,0,0,0
Renato,Meia,joinville,2,Contundido,4.36,0.00,0.00,1.15,3,2,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0
Joel,Atacante,cruzeiro,5,Nulo,4.35,-0.60,-1.80,0.04,4,4,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
Henrique Dourado,Atacante,cruzeiro,4,Nulo,4.32,0.00,0.00,0.55,2,4,0,1,1,2,0,3,0,0,4,0,0,0,0,0,0,0
Dodô,Meia,atlético-mg,3,Nulo,4.30,0.00,0.00,1.10,2,5,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0
